field0	field1	field2	field3	field4				
			local opponentDriftPoint 	"= opponent.actor:GetPosition() + (newDrift-originalOpponentLoc);"				
			local driftDistance = opponentDriftPoint:Dist( pet.actor:GetPosition() )					
			"pet.actor:WaitMoveToAbs(opponentDriftPoint,driftDistance/pet.moveSpeed );"					
		end						
		-- ## Unique Stuff End						
								
	end							
								
	#NAAM?							
	"--Dispatcher_AddCommandToQueue(casterPlayerID, casterPetSlot, Dispatcher_PerformTurnEffects, turn ); "							
								
								
	#NAAM?							
	"Dispatcher_AddCommandToQueue(ROID, Dispatcher_PerformPostAttackCleanup );"							
								
								
		if (debugOn == true) then						
			"local effectName = \""Unknown\"";"					
								
			for k,v in pairs(PetBattleEffect) do 					
				if ( v == effect.firstEvent.effectType ) then				
					"effectName = k;"			
				end				
			end					
								
			"DebugPrint(\""-   Processing Effect \"" .. effect.firstEvent.abilityEffectID..\"" effectType: \""..effectName)"					
		end						
								
								
	for k,v in pairs(STATE_LOOKUP) do							
		if ( v == result.target.stateID ) then						
			"label = k;"					
			"break;"					
		end						
	end							
								
	"DebugPrint(\""*** State Update: \"",label,\"" = \"",result.target.stateValue) "							
								
	#NAAM?							
	if ( result.target.stateID == 84 ) then							
								
		if ( result.target.stateValue > 0 ) then						
			"target.stealthed = true;"					
		else						
			"target.stealthed = false;"					
		end						
		local ROID = GETROIDFROMPLAYERIDANDSLOT( target.playerID, target.slot )						
		target.actor:Fade( GetNaturalAlpha(ROID) , 0.5)						
	end							
			end					
		end						
	end							
	"if ( isTurn ~= \""turn\"" ) then"							
		"print (\""ERROR: Object of type \""..isTurn..\"" passed to DefaultDoEffect\"");"						
								
		"return;"						
	end							
								
	if ( #turn.effects == 1 ) then 							
		#NAAM?						
		"Dispatcher_AddCommandToQueue(ROID, PerformMove, PetBattleRange.Melee); "						
								
		#NAAM?						
		"local processed = HandleSpellVisualPackage( ROID, turn.effects[1].firstEvent.abilityVisualID, \""effect\"", turn.effects[1])"						
								
		#NAAM?						
		if (processed ~= true) then						
			#NAAM?					
			"Dispatcher_AddCommandToQueue(ROID, Dispatcher_DefaultDoEffect, turn.effects[1] ); "					
			#NAAM?					
		end						
								
								
	else							
		-- ## Unique Stuff Start 						
		"local pet = ROIDTOPET(ROID);"						
		local opponent = GetActivePetByIndex(3 - pet.playerID)						
		"local alpha = 0;"						
		"local delay = 0.5; -- sec"						
		"pet.actor:PlaySpellCastVisual(255);"						
		pet.actor:Fade(alpha, delay)						
		scene:WaitTimer(delay)						
		pet.actor:SetFacingToTarget(opponent.actor, Vector:New())						
								
		local opponentLocation = opponent.actor:GetPosition()						
		"local behindSpot = FastLocalFacingCoordinates(opponentLocation, pet.actor:GetPosition() , Vector:New(-0.5,0,0) );"						
								
		local distance = opponentLocation:Dist( behindSpot )						
								
		"pet.actor:WaitMoveToAbs(behindSpot,0); --driftDistance/pet.moveSpeed "						
								
		"pet.actor:PlaySpellCastVisual(255);"						
		pet.actor:Fade( GetNaturalAlpha(ROID) , delay)						
		scene:WaitTimer(delay)						
								
		-- ## Unique Stuff End						
								
		#NAAM?						
		--for index, effect in pairs(turn.effects) do						
								
		"local effect = turn.effects[2];"						
			#NAAM?					
			"local processed = HandleSpellVisualPackage( ROID, effect.firstEvent.abilityVisualID, \""effect\"", effect)"					
								
			#NAAM?					
			if (processed ~= true) then					
				#NAAM?				
				"Dispatcher_AddCommandToQueue(ROID, Dispatcher_DefaultDoEffect, effect ); "				
				#NAAM?				
			end					
								
		#NAAM?						
	end							
								
	#NAAM?							
	"Dispatcher_AddCommandToQueue(ROID, Dispatcher_PerformPostAttackCleanup );"							
								
								
			"table.remove(myList.commands,1);"					
		end						
								
		"UNIT_ACTION_QUEUE[myROID].isProcessing = false;"						
		"myROID = nil;"						
		"myList = nil;"						
	end							
								
	scene:WaitTimer(0)							
								
			"table.remove(myList.commands,1);"					
		end						
								
		"UNIT_ACTION_QUEUE[myROID].isProcessing = false;"						
		"myROID = nil;"						
		"myList = nil;"						
	end							
								
	scene:WaitTimer(0)							
	"if ( isTurn ~= \""turn\"" ) then"							
		"print (\""ERROR: Object of type \""..isTurn..\"" passed to DefaultDoEffect\"");"						
								
		"return;"						
	end							
								
	local abilityVisualID, spellVisualID, turnVisualID, turnSpellVisualID = GetVisualData(turn.effects[1].results[1])							
	local turnVisual = petAbilityVisuals[turnVisualID]							
	if ( turnVisual ) then 							
		#NAAM?						
		"Dispatcher_AddCommandToQueue(ROID, PerformMove, turnVisual.range ); "						
	end							
								
	for index, effect in pairs(turn.effects) do							
		if ( index <= n ) then 						
			local abilityVisualID = effect.firstEvent.abilityVisualID					
			local abilityVisual = petAbilityVisuals[abilityVisualID]					
			if ( abilityVisual ) then 					
				#NAAM?				
				"Dispatcher_AddCommandToQueue(ROID, PerformMove, abilityVisual.range ); "				
			end					
								
			#NAAM?					
			"local processed = HandleSpellVisualPackage( ROID, effect.firstEvent.abilityVisualID, \""effect\"", effect)"					
								
			#NAAM?					
			if (processed ~= true) then					
				#NAAM?				
				"Dispatcher_AddCommandToQueue(ROID, Dispatcher_DefaultDoEffect, effect ); "				
				#NAAM?				
			end					
		else						
			#NAAM?					
			"local processed = HandleSpellVisualPackage( ROID, effect.firstEvent.abilityVisualID, \""effect\"", effect, nil, true)"					
								
			#NAAM?					
			if (processed ~= true) then					
				#NAAM?				
				"Dispatcher_AddCommandToQueue(ROID, Dispatcher_DefaultDoEffect, effect, nil, true ); "				
				#NAAM?				
			end					
			for index, result in pairs(effect.results) do					
				StartEffectProcessing(result)				
				SignalEffectProcessed()				
			end					
		end						
	end							
								
	#NAAM?							
	"Dispatcher_AddCommandToQueue(ROID, Dispatcher_PerformPostAttackCleanup );"							
								
	"if ( isTurn ~= \""turn\"" ) then"							
		"print (\""ERROR: Object of type \""..isTurn..\"" passed to DefaultDoEffect\"");"						
								
		"return;"						
	end							
	for index, effect in pairs(turn.effects) do							
		if ( index <= n ) then 						
			local abilityVisualID = effect.firstEvent.abilityVisualID					
			local abilityVisual = petAbilityVisuals[abilityVisualID]					
			if ( abilityVisual ) then 					
				#NAAM?				
				"Dispatcher_AddCommandToQueue(ROID, PerformLeap, abilityVisual.range, Animations.Jump ); "				
			end					
								
			#NAAM?					
			"local processed = HandleSpellVisualPackage( ROID, effect.firstEvent.abilityVisualID, \""effect\"", effect)"					
								
			#NAAM?					
			if (processed ~= true) then					
				#NAAM?				
				"Dispatcher_AddCommandToQueue(ROID, Dispatcher_DefaultDoEffect, effect ); "				
				#NAAM?				
			end					
		else						
			for index, result in pairs(effect.results) do					
				StartEffectProcessing(result)				
				SignalEffectProcessed()				
			end					
		end						
	end							
								
	#NAAM?							
	"Dispatcher_AddCommandToQueue(ROID, Dispatcher_PerformPostAttackCleanup );"							
								
	end							
								
	if ( finalDestination ) then 							
		"local distance = finalDestination:Dist( pet.actor:GetPosition() );"						
								
		if ( distance > 0.02 ) then 						
			"moveTime = distance/battleScale/(pet.moveSpeed);"					
			pet.actor:WaitMoveToAbs(finalDestination, moveTime)					
		end						
	else							
		"-- \""You didnt need to go anywhere"						
	end							
								
	end							
								
	if ( finalDestination ) then 							
		"local distance = finalDestination:Dist( pet.actor:GetPosition() );"						
								
		if ( distance > 0.02 ) then 						
								
			PerformJump( pet, finalDestination, 0.5, animation )					
								
		end						
	else							
		"-- \""You didnt need to go anywhere"						
	end							
								
								
	target = effect.target							
	local targetPlayer = GetTeamByIndex(target.playerID)							
	local targetPet = targetPlayer.pets[target.petSlot]							
								
	if (target and target.newStatus) then							
		targetPet.status = target.newStatus						
	end							
								
	#NAAM?							
	local player = nil							
	if (effect.casterPlayerID > 0) then							
		player = GetTeamByIndex(effect.casterPlayerID)						
	end							
								
	if (player) then							
		if (effect.abilityVisualID == player.trapVisualID) then						
			TrapCast(effect)					
		end						
	end							
	"setfenv(1, env);"							
	]]---							
								
	"-- Only handle \""effect\"" objects"							
	"if ( isTurn ~= \""turn\"" ) then"							
		"print (\""ERROR: Object of type \""..isTurn..\"" passed to DefaultDoEffect\"");"						
								
		"return;"						
	end							
								
	"local radius = 3; "							
	"local cloneSpeed = 10;"							
	"local effectTime = 2;"							
								
	"local chargeWithClones = true;"							
								
	local cols = clonesPerRow							
	local rows = #turn.effects							
								
	if ( chargeWithClones ) then 							
		"rows = rows - 1;"						
	end							
								
	"local frontSpread = radius*2 / rows; "							
	"local leftSpread = radius*2 / cols; "							
								
	"local objectTable = {};"							
								
	for i=1,rows do							
		for j=1,cols do						
			local col = j					
			"local row = i;"					
								
			table.insert(objectTable, {					
					"index = (i-1)*rows+(j);"			
					f = -radius + row*frontSpread + math.random( -frontSpread*0.75,frontSpread*0.75 ), 			
					l = -radius + col*leftSpread + math.random( -leftSpread*0.75,leftSpread*0.75 )			
			"});"					
		end						
	end							
								
	"local pet = ROIDTOPET(ROID);"							
	local opponent = GetActivePetByIndex(3 - pet.playerID)							
								
	"local name = \""Clone\"";"							
	"local creatureID = pet.creatureID; "							
	"local scale = 1;"							
								
	"local createData = ActorCreateData:Default();"							
	"createData.creatureID = creatureID;"							
	"createData.scale = scale;"							
	"createData.interactible = false;"							
								
	"local petStartingPoint = VectorCopy(pet.actor:GetPosition());"							
	"local centerStartingPoint = FastLocalFacingCoordinates( petStartingPoint, opponent.actor:GetPosition(), Vector:New(-8,0,0) );"							
	"local centerEndingPoint   = FastLocalFacingCoordinates( opponent.actor:GetPosition(), petStartingPoint, Vector:New(-8,0,0) );"							
								
	local cleanUpCheck=function(remove)							
		for i=#objectTable,1,-1 do 						
			local v = objectTable[i]					
			if ( v.actor ) then					
				"local remainder = v.actor:GetPosition():Dist( v.destination );"				
				if ( remainder < 4 or not v.actor:IsMoving() ) then 				
					"v.actor:Despawn();"			
					if ( remove ) then			
						"table.remove(objectTable,i);"		
					end			
				end				
			elseif (remove) then					
								
				"table.remove(objectTable,i);"				
			end					
		end						
	end							
								
	"local timeSpent = 0;"							
	"local waveDelay = effectTime/rows;"							
	"local effectDelay = (opponent.actor:GetPosition():Dist(petStartingPoint) / cloneSpeed ) + waveDelay;"							
	"local petDelay = 0;"							
								
	local nextWave = 0							
								
	"local waveIndex = 1;"							
	"local effectIndex = 1;"							
								
	"local delay = 0.05;"							
								
	"local petStarted = false;"							
	"local petFirstHit = false;"							
	"local petArrived = false;"							
	"local petTeleport = false;"							
	"local petReturned = false;"							
	"local petDone = false;"							
								
	local doEffect = function(updateDelay)							
		"local effect = turn.effects[effectIndex];"						
		#NAAM?						
		if ( effectIndex <= 99 ) then 						
			#NAAM?					
			"local processed = HandleSpellVisualPackage( ROID, effect.firstEvent.abilityVisualID, \""effect\"", effect)"					
